SourceFile,../tests/test_files/KSP_015561_00123_1h.jpg
ExifTool:ExifToolVersion,12.51
File:FileName,KSP_015561_00123_1h.jpg
File:Directory,../tests/test_files
File:FileSize,308566
File:FileModifyDate,2024:04:09 20:39:47+03:00
File:FileAccessDate,2024:04:20 18:14:09+03:00
File:FileInodeChangeDate,2024:04:18 18:35:54+03:00
File:FilePermissions,100644
File:FileType,JPEG
File:FileTypeExtension,JPG
File:MIMEType,image/jpeg
File:CurrentIPTCDigest,f626eaf89a7ee285246494432046e875
File:Comment,"AppleMark
"
File:ExifByteOrder,MM
File:ImageWidth,1363
File:ImageHeight,2048
File:EncodingProcess,0
File:BitsPerSample,8
File:ColorComponents,3
File:YCbCrSubSampling,2 2
JFIF:JFIFVersion,1 1
JFIF:ResolutionUnit,1
JFIF:XResolution,72
JFIF:YResolution,72
IPTC:CodedCharacterSet,%G
IPTC:EnvelopeRecordVersion,4
IPTC:ApplicationRecordVersion,3
IPTC:DateCreated,2004:05:22
IPTC:TimeCreated,00:00:00+03:00
IPTC:City,St. Petersburg
IPTC:Country-PrimaryLocationName,Russia
IPTC:Country-PrimaryLocationCode,RUS
IPTC:Keywords,"['двор', 'архитектура', 'architecture', 'достопримечательность']"
IPTC:By-line,Pavlenko Evgeniy
IPTC:Credit,Pavlenko Evgeniy
IPTC:Caption-Abstract,"22.05.2004, Россия, Санкт-Петербург. Виды Санкт-Петербурга. Дворы капеллы."
IPTC:Urgency,6
IPTC:CopyrightNotice,Pavlenko Evgeniy
IPTC:Prefs,0:6:0:-00001
IPTC:SimilarityIndex,152166521652111636
IPTC:DigitalCreationDate,2018:05:07
IPTC:DigitalCreationTime,12:40:09+03:00
Photoshop:XResolution,72
Photoshop:DisplayedUnitsX,1
Photoshop:YResolution,72
Photoshop:DisplayedUnitsY,1
XMP:XMPToolkit,Image::ExifTool 12.51
XMP:CountryCode,RUS
XMP:Creator,Pavlenko Evgeniy
XMP:Description,"22.05.2004, Россия, Санкт-Петербург. Виды Санкт-Петербурга. Дворы капеллы."
XMP:Rights,Pavlenko Evgeniy
XMP:Subject,"['двор', 'архитектура', 'architecture', 'достопримечательность']"
XMP:ColorClass,6
XMP:PMVersion,PM6
XMP:Prefs,0:6:0:-00001
XMP:Tagged,False
XMP:City,St. Petersburg
XMP:Country,Russia
XMP:Credit,Pavlenko Evgeniy
XMP:DateCreated,2004:05:22 00:00:00+03:00
XMP:Urgency,6
XMP:CreateDate,2004:05:22 00:00:00+03:00
XMP:Label,Green
XMP:Rating,0
XMP:InstanceID,uuid:faf5bdd5-ba3d-11da-ad31-d33d75182f1b
XMP:Marked,True
EXIF:Padding,"(Binary data 2060 bytes, use -b option to extract)"
Composite:ImageSize,1363 2048
Composite:Megapixels,2.791424
Composite:DateTimeCreated,2004:05:22 00:00:00+03:00
Composite:DigitalCreationDateTime,2018:05:07 12:40:09+03:00
Composite:DateTimeOriginal,2004:05:22 00:00:00+03:00
