SourceFile,../tests/test_files/pavlovsk.JPEG
ExifTool:ExifToolVersion,12.51
File:FileName,pavlovsk.JPEG
File:Directory,../tests/test_files
File:FileSize,223880
File:FileModifyDate,2024:04:23 17:44:25+03:00
File:FileAccessDate,2024:04:23 17:45:22+03:00
File:FileInodeChangeDate,2024:04:23 17:45:22+03:00
File:FilePermissions,100644
File:FileType,JPEG
File:FileTypeExtension,JPG
File:MIMEType,image/jpeg
File:CurrentIPTCDigest,00a98c853f61bc93b4675f35611eaecc
File:ImageWidth,800
File:ImageHeight,472
File:EncodingProcess,0
File:BitsPerSample,8
File:ColorComponents,3
File:YCbCrSubSampling,1 1
JFIF:JFIFVersion,1 1
JFIF:ResolutionUnit,1
JFIF:XResolution,200
JFIF:YResolution,200
IPTC:CodedCharacterSet,%G
IPTC:ApplicationRecordVersion,3
IPTC:DateCreated,2012:12:31
IPTC:TimeCreated,01:39:39+03:00
IPTC:City,город
IPTC:Country-PrimaryLocationName,страна
IPTC:ObjectName,My tiitle
IPTC:Keywords,ключевые слова
IPTC:By-line,фотограф
IPTC:Source,источник
IPTC:Caption-Abstract,"Павловск, Павловский парк, Павловский музыкальный вокзал.Снимок является общественным достоянием.https://picryl.com"
IPTC:Headline,My headline
IPTC:SpecialInstructions,special instructions
IPTC:Urgency,3
IPTC:CopyrightNotice,копирайт
IPTC:Sub-location,локация
IPTC:Prefs,0:3:4:-00001
Photoshop:XResolution,200
Photoshop:DisplayedUnitsX,1
Photoshop:YResolution,200
Photoshop:DisplayedUnitsY,1
Photoshop:CopyrightFlag,1
XMP:XMPToolkit,XMP Core 5.6.0
XMP:ImageHeight,473
XMP:ImageWidth,800
XMP:YCbCrPositioning,1
XMP:City,город
XMP:Country,страна
XMP:Source,источник
XMP:Headline,My headline
XMP:Instructions,special instructions
XMP:Urgency,3
XMP:DateCreated,2012:12:31 01:39:39
XMP:Marked,True
XMP:CreateDate,2012:12:31 01:39:39
XMP:Label,Cyan
XMP:Rating,4
XMP:Location,локация
XMP:ColorClass,3
XMP:Tagged,False
XMP:Prefs,0:3:4:-00001
XMP:PMVersion,PM6
XMP:BitsPerSample,8
XMP:YCbCrSubSampling,"[2, 1]"
XMP:Subject,ключевые слова
XMP:Description,"Павловск, Павловский парк, Павловский музыкальный вокзал.

Снимок является общественным достоянием.
https://picryl.com"
XMP:Creator,фотограф
XMP:Title,My tiitle
XMP:Rights,копирайт
ICC_Profile:ProfileCMMType,Lino
ICC_Profile:ProfileVersion,528
ICC_Profile:ProfileClass,mntr
ICC_Profile:ColorSpaceData,RGB 
ICC_Profile:ProfileConnectionSpace,XYZ 
ICC_Profile:ProfileDateTime,1998:02:09 06:49:00
ICC_Profile:ProfileFileSignature,acsp
ICC_Profile:PrimaryPlatform,MSFT
ICC_Profile:CMMFlags,0
ICC_Profile:DeviceManufacturer,IEC 
ICC_Profile:DeviceModel,sRGB
ICC_Profile:DeviceAttributes,0 0
ICC_Profile:RenderingIntent,0
ICC_Profile:ConnectionSpaceIlluminant,0.9642 1 0.82491
ICC_Profile:ProfileCreator,HP  
ICC_Profile:ProfileID,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ICC_Profile:ProfileCopyright,Copyright (c) 1998 Hewlett-Packard Company
ICC_Profile:ProfileDescription,sRGB IEC61966-2.1
ICC_Profile:MediaWhitePoint,0.95045 1 1.08905
ICC_Profile:MediaBlackPoint,0 0 0
ICC_Profile:RedMatrixColumn,0.43607 0.22249 0.01392
ICC_Profile:GreenMatrixColumn,0.38515 0.71687 0.09708
ICC_Profile:BlueMatrixColumn,0.14307 0.06061 0.7141
ICC_Profile:DeviceMfgDesc,IEC http://www.iec.ch
ICC_Profile:DeviceModelDesc,IEC 61966-2.1 Default RGB colour space - sRGB
ICC_Profile:ViewingCondDesc,Reference Viewing Condition in IEC61966-2.1
ICC_Profile:ViewingCondIlluminant,19.6445 20.3718 16.8089
ICC_Profile:ViewingCondSurround,3.92889 4.07439 3.36179
ICC_Profile:ViewingCondIlluminantType,1
ICC_Profile:Luminance,76.03647 80 87.12462
ICC_Profile:MeasurementObserver,1
ICC_Profile:MeasurementBacking,0 0 0
ICC_Profile:MeasurementGeometry,0
ICC_Profile:MeasurementFlare,0.00999
ICC_Profile:MeasurementIlluminant,2
ICC_Profile:Technology,CRT 
ICC_Profile:RedTRC,"(Binary data 2060 bytes, use -b option to extract)"
ICC_Profile:GreenTRC,"(Binary data 2060 bytes, use -b option to extract)"
ICC_Profile:BlueTRC,"(Binary data 2060 bytes, use -b option to extract)"
Composite:ImageSize,800 472
Composite:Megapixels,0.3776
Composite:DateTimeCreated,2012:12:31 01:39:39+03:00
Composite:DateTimeOriginal,2012:12:31 01:39:39+03:00
